tenor,0.1,0.25,0.5,0.75,0.9,time,maturity,rd,rf,0.1 strike,0.25 strike,0.5 strike,0.75 strike,0.9 strike,forward
1W,4.631,3.6715,3.4,3.541,4.429,0.019444444444444445,"February 11th, 2020",0.027962878916587226,0.009608918723929345,0.07578064488861919,0.0754154797734184,0.07515536692028986,0.0749055555676864,0.0745634595975444,0.07515452226221815
2W,4.563,3.8475,3.6,3.7405,4.435,0.03888888888888889,"February 18th, 2020",0.050467288957547075,0.009850423957144194,0.07769141424667364,0.07719377332121516,0.07679945995903555,0.07641846311779193,0.07594445999529624,0.07679752463702974
3W,4.506,3.8315,3.544,3.664,4.244,0.058333333333333334,"February 25th, 2020",0.06923838071569913,0.0100687120759974,0.07926925731599112,0.07865950819163885,0.07816958509103485,0.07770458985725474,0.07715067529183267,0.07816672154561
1M,4.4255,3.817,3.5,3.602,4.06,0.08055555555555556,"March 4th, 2020",0.06509116021433378,0.010251849599367799,0.07911663093757429,0.07842266350898543,0.07785098221771128,0.07731623165013847,0.07671106557228927,0.07784714112338449
1M2W,4.7875,4.102,3.7025,3.7565,4.2155,0.125,"March 20th, 2020",0.056796719211603064,0.0106181246461086,0.07891237726004213,0.07797513167907691,0.07721459560032501,0.07652618448717009,0.07575569238461807,0.0772079802789335
2M,5.044,4.308,3.85,3.869,4.328,0.175,"April 7th, 2020",0.051637135313924096,0.011140009569900048,0.0789110616390152,0.07774040608522814,0.07679864777863225,0.07596491376326792,0.07503977696151475,0.07678868787990897
3M,5.4685,4.5785,4.0,3.9955,4.4885,0.25555555555555554,"May 6th, 2020",0.045749878816250256,0.01162913273399877,0.07910059654464774,0.07753965715464146,0.07633371546975005,0.07530079909976163,0.0741498964113546,0.07631811106087016
4M,6.0435,5.031,4.3315,4.254,4.67,0.33611111111111114,"June 4th, 2020",0.041821839264449184,0.0116387850647786,0.07956792681747078,0.07757099865392346,0.07605148495906927,0.07479602107128168,0.07346172729671477,0.07602750939993569
5M,6.3455,5.2745,4.511,4.3955,4.7685,0.425,"July 6th, 2020",0.039862080597738284,0.01230525507940007,0.08003091938429488,0.07765893217202366,0.07586649273064719,0.07441262760099818,0.07290713723068368,0.07583369372325337
6M,6.576,5.462,4.65,4.505,4.8435,0.5055555555555555,"August 4th, 2020",0.03896666776587759,0.013172901409145807,0.0804664244600332,0.07777143132640221,0.0757449684780002,0.07412356128216466,0.07247805233844073,0.07570357995712682
9M,7.15,5.869,4.975,4.719,4.9925,0.7611111111111111,"November 4th, 2020",0.03522040890852653,0.01317037654399289,0.0818636487779644,0.07818011474783403,0.07549837073258626,0.07342381446421092,0.07140009577565602,0.07542729238850258
1Y,7.8125,6.443,5.35,5.012,5.229,1.0166666666666666,"February 4th, 2021",0.033262756159632305,0.01332209401299567,0.08352599619278198,0.07880933164450461,0.07538121906190463,0.07284210471244355,0.07045150708863065,0.07527162086642179
2Y,8.488,6.7995,5.7,5.304,5.5885,2.0388888888888888,"February 7th, 2022",0.032980136831513594,0.015040829231114371,0.08839431120664937,0.08058708044108154,0.07537315700255819,0.07158775643847425,0.06803740524367427,0.07512392090090947
